place_name,review_text,sentiment_food,sentiment_service,sentiment_price,sentiment_global
Rapanui,El mozo super amable.,NEU,POS,NEU,POS
Las Violetas,Una estafa el precio y me encanto esperar 2 horas.,NEU,NEG,NEG,NEG
Las Violetas,El lugar se cae a pedazos y precios elevados.,NEU,NEU,NEG,NEG
El Cuartito,Nada especial el lugar y precios un poco elevados para lo que ofrecen.,NEU,NEU,NEG,NEG
Kansas,Nada especial el lugar.,NEU,NEU,NEU,NEU
Kansas,Excelente relación precio calidad y lugar normal.,NEU,NEU,POS,POS
Don Julio,Lindo lugar y una estafa el precio.,NEU,NEU,NEG,NEU
La Parolaccia,Ambiente estandar.,NEU,NEU,NEU,NEU
Sottovoce,"Excelente relación precio calidad, falta personal y se deja comer.",NEU,NEG,POS,NEU
Don Julio,El servicio correcto y me encantó la comida.,POS,NEU,NEU,POS
Kansas,Precio acorde.,NEU,NEU,NEU,NEU
La Cabrera,Regular la comida y me gusto el lugar.,NEU,NEU,NEU,POS
La Parolaccia,Precios altos.,NEU,NEU,NEG,NEG
Sottovoce,Precios de mercado.,NEU,NEU,NEU,NEU
Pizzería Guerrin,El lugar esta bueno.,NEU,NEU,NEU,POS
La Mezzetta,La atención fue genial.,NEU,POS,NEU,POS
La Cabrera,Lindo lugar.,NEU,NEU,NEU,POS
Kansas,Buen ambiente.,NEU,NEU,NEU,POS
Kansas,Tiempos de espera normales y te arrancan la cabeza.,NEU,NEU,NEG,NEG
La Mezzetta,Ni muy muy ni tan tan y atención rápida y cordial.,NEU,POS,NEU,POS
El Pobre Luis,"Platos estándar, precios accesibles y ambiente estandar.",NEU,NEU,POS,POS
Antares,Lugar sucio.,NEU,NEU,NEU,NEG
La Parolaccia,Brillante atencion si no tienes prisa y lindo lugar.,NEU,NEG,NEU,NEU
La Parolaccia,Poco rico.,NEG,NEU,NEU,NEG
Antares,Tiempos de espera normales.,NEU,NEU,NEU,NEU
La Parolaccia,Cumplieron con el pedido y precios de mercado.,NEU,NEU,NEU,NEU
Kansas,Nada especial el lugar y comida aceptable.,NEU,NEU,NEU,NEU
Sottovoce,Todo muy grasoso.,NEG,NEU,NEU,NEG
Don Julio,"No es barato ni caro, genial si te gusta comer frio y la atención normal.",NEG,NEU,NEU,NEG
Rapanui,Atención sin destacar y lugar feo.,NEU,NEU,NEU,NEG
La Parolaccia,Todo muy rico.,POS,NEU,NEU,POS
La Parolaccia,Te arrancan la cabeza y platos estándar.,NEU,NEU,NEG,NEG
Rapanui,Teniamos frio y servicio lento y malo.,NEG,NEG,NEU,NEG
Pizzería Guerrin,Un poco caro y el servicio correcto.,NEU,NEU,NEG,NEG
Antares,Atención rápida y cordial.,NEU,POS,NEU,POS
La Parolaccia,"Destaco la atención, lo que esperas pagar y ambiente estandar.",NEU,POS,NEU,POS
Kansas,"Atención sin destacar, la comida estaba exquisita y ambiente estandar.",POS,NEU,NEU,POS
Don Julio,Mala ambientacion y precios altos.,NEU,NEU,NEG,NEG
La Mezzetta,Bastante barato y estaba rico.,POS,NEU,POS,POS
El Pobre Luis,No es barato ni caro.,NEU,NEU,NEU,NEU
Pizzería Guerrin,Buen ambiente.,NEU,NEU,NEU,POS
Rapanui,Buen precio.,NEU,NEU,POS,POS
Antares,El mozo super amable y no me gustó la comida.,NEG,POS,NEU,NEU
Rapanui,"Excelente sabor, cumplieron con el pedido y lugar sucio.",POS,NEU,NEU,NEU
Don Julio,Lugar sucio.,NEU,NEU,NEU,NEG
Kansas,La comida un desastre y precios de mercado.,NEG,NEU,NEU,NEG
Rapanui,Sabroso y fresco y un poco caro.,POS,NEU,NEG,NEU
La Mezzetta,"La comida normal, buen ambiente y la atención fue genial.",NEU,POS,NEU,POS
El Pobre Luis,Precios elevados.,NEU,NEU,NEG,NEG
La Parolaccia,"Muy linda decoracion, si te gusta esperar este es tu lugar y sabroso y fresco.",POS,NEG,NEU,POS
Las Violetas,Ambiente estandar y la atención fue genial.,NEU,POS,NEU,POS
Pizzería Guerrin,Tiempos de espera normales.,NEU,NEU,NEU,NEU
La Parolaccia,Genial si te gusta comer frio.,NEG,NEU,NEU,NEG
La Parolaccia,Se deja comer.,NEU,NEU,NEU,NEU
Kansas,Excelente relación precio calidad y la comida llegó fría.,NEG,NEU,POS,NEU
Pizzería Guerrin,No es barato ni caro y muy atentos en todo momento.,NEU,POS,NEU,POS
Pizzería Guerrin,Estaba rico y lindo lugar.,POS,NEU,NEU,POS
La Cabrera,La comida llegó fría.,NEG,NEU,NEU,NEG
El Pobre Luis,"No es barato ni caro, ni muy muy ni tan tan y nos atendieron de maravilla.",NEU,POS,NEU,POS
El Pobre Luis,El lugar se cae a pedazos.,NEU,NEU,NEU,NEG
El Pobre Luis,La pizza estaba cruda y la atención fue pésima.,NEG,NEG,NEU,NEG
Rapanui,La atención normal.,NEU,NEU,NEU,NEU
Pizzería Guerrin,No es barato ni caro.,NEU,NEU,NEU,NEU
Antares,Buen precio y poco rico.,NEG,NEU,POS,NEU
El Cuartito,Mala ambientacion.,NEU,NEU,NEU,NEG
Don Julio,Bastante barato.,NEU,NEU,POS,POS
Las Violetas,Que rica comida.,POS,NEU,NEU,POS
El Pobre Luis,Tiempos de espera normales y se deja comer.,NEU,NEU,NEU,NEU
Las Violetas,"Me gusto el lugar, se deja comer y precios de mercado.",NEU,NEU,NEU,POS
Rapanui,"Todo muy rico, el lugar esta bueno y la atención fue genial.",POS,POS,NEU,POS
Pizzería Guerrin,Muy caro.,NEU,NEU,NEG,NEG
La Parolaccia,"Atención rápida y cordial, lo que esperas pagar y todo helado.",NEG,POS,NEU,NEU
El Pobre Luis,Los mozos te tratan mal y precios accesibles.,NEU,NEG,POS,NEU
La Cabrera,La atención fue pésima.,NEU,NEG,NEU,NEG
La Mezzetta,Ni muy muy ni tan tan y el lugar esta bueno.,NEU,NEU,NEU,POS
Rapanui,No me gusto el lugar y precios de mercado.,NEU,NEU,NEU,NEG
Antares,Buen precio.,NEU,NEU,POS,POS
Las Violetas,Atención rápida y cordial.,NEU,POS,NEU,POS
Sottovoce,Nada del otro mundo la comida.,NEU,NEU,NEU,NEU
Sottovoce,Falta personal.,NEU,NEG,NEU,NEG
Kansas,Precios accesibles y tiempos de espera normales.,NEU,NEU,POS,POS
Antares,No es caro.,NEU,NEU,POS,POS
El Pobre Luis,"Platos estándar, me pareció carísimo y brillante atencion si no tienes prisa.",NEU,NEG,NEG,NEG
Don Julio,Atención rápida y cordial y no es caro.,NEU,POS,POS,POS
Antares,La atención fue genial y poco rico.,NEG,POS,NEU,NEU
Sottovoce,El lugar se cae a pedazos y precios accesibles.,NEU,NEU,POS,NEU
Pizzería Guerrin,Bastante barato y se deja comer.,NEU,NEU,POS,POS
El Pobre Luis,Nada bueno y gracias por la demora.,NEG,NEG,NEU,NEG
Don Julio,Estaba rico.,POS,NEU,NEU,POS
La Parolaccia,Precios de mercado.,NEU,NEU,NEU,NEU
La Cabrera,"Buen precio, todo muy grasoso y nos atendieron de maravilla.",NEG,POS,POS,POS
El Cuartito,Nos atendieron de maravilla.,NEU,POS,NEU,POS
El Pobre Luis,"El servicio correcto, la pizza estaba cruda y precios un poco elevados para lo que ofrecen.",NEG,NEU,NEG,NEG
Don Julio,Muy mala onda los empleados.,NEU,NEG,NEU,NEG
La Mezzetta,Nada del otro mundo la comida.,NEU,NEU,NEU,NEU
El Pobre Luis,Tiempos de espera normales y se deja comer.,NEU,NEU,NEU,NEU
El Pobre Luis,El lugar esta bueno y precios de mercado.,NEU,NEU,NEU,POS
Rapanui,La pizza es la mejor de buenos aires.,POS,NEU,NEU,POS
El Cuartito,Bastante barato.,NEU,NEU,POS,POS
El Cuartito,Atención rápida y cordial y bastante barato.,NEU,POS,POS,POS
Sottovoce,Lo que esperas pagar.,NEU,NEU,NEU,NEU
Antares,"Lugar sucio, se deja comer y los mozos te tratan mal.",NEU,NEG,NEU,NEG
La Mezzetta,Servicio excelente.,NEU,POS,NEU,POS
Sottovoce,Me encantó la comida y precios accesibles.,POS,NEU,POS,POS
La Cabrera,"Precios por las nubes, la atención normal y muy linda decoracion.",NEU,NEU,NEG,NEU
Kansas,"Precios accesibles, mala ambientacion y destaco la atención.",NEU,POS,POS,POS
Sottovoce,No es barato ni caro y no me pareció rico.,NEG,NEU,NEU,NEG
El Pobre Luis,"No me gusto el lugar, tiempos de espera normales y precios accesibles.",NEU,NEU,POS,NEU
Sottovoce,El lugar se cae a pedazos y no es barato ni caro.,NEU,NEU,NEU,NEG
La Mezzetta,No me gusto el ambiente.,NEU,NEU,NEU,NEG
La Cabrera,La atención fue pésima y nada especial el lugar.,NEU,NEG,NEU,NEG
Sottovoce,Cumplieron con el pedido y una estafa el precio.,NEU,NEU,NEG,NEG
Rapanui,Precios accesibles y servicio excelente.,NEU,POS,POS,POS
La Mezzetta,Excelente sabor y el lugar es hermoso.,POS,NEU,NEU,POS
La Cabrera,Genial si te gusta comer frio y precios de mercado.,NEG,NEU,NEU,NEG
La Cabrera,"Tiempos de espera normales, el lugar esta bueno y precios de mercado.",NEU,NEU,NEU,POS
Sottovoce,Bastante barato.,NEU,NEU,POS,POS
Pizzería Guerrin,Nada especial el lugar y muy atentos en todo momento.,NEU,POS,NEU,POS
Rapanui,Atención sin destacar y precio acorde.,NEU,NEU,NEU,NEU
Sottovoce,"La comida normal, el mozo super amable y lo que esperas pagar.",NEU,POS,NEU,POS
La Cabrera,Los mozos te tratan mal.,NEU,NEG,NEU,NEG
Las Violetas,"No me gustó la comida, mala ambientacion y lo que esperas pagar.",NEG,NEU,NEU,NEG
La Mezzetta,Me gusto mucho y el lugar se cae a pedazos.,POS,NEU,NEU,NEU
La Parolaccia,Nada especial el lugar.,NEU,NEU,NEU,NEU
La Cabrera,Destaco la atención.,NEU,POS,NEU,POS
La Parolaccia,La atención fue pésima y no es caro.,NEU,NEG,POS,NEU
Pizzería Guerrin,Platos estándar.,NEU,NEU,NEU,NEU
La Parolaccia,Servicio excelente y lugar normal.,NEU,POS,NEU,POS
Antares,Precios altos y no estaba rico.,NEG,NEU,NEG,NEG
El Pobre Luis,El lugar es hermoso.,NEU,NEU,NEU,POS
Las Violetas,Estaba rico.,POS,NEU,NEU,POS
Sottovoce,"Nada especial el lugar, la carne era una manteca y muy caro.",POS,NEU,NEG,NEU
Don Julio,Tiempos de espera normales.,NEU,NEU,NEU,NEU
El Cuartito,Nada especial el lugar.,NEU,NEU,NEU,NEU
Antares,Que rica comida y mala ambientacion.,POS,NEU,NEU,NEU
La Parolaccia,"Precios accesibles, se deja comer y me gusto el lugar.",NEU,NEU,POS,POS
La Parolaccia,Ideal para perder el tiempo.,NEU,NEG,NEU,NEG
Rapanui,"Que rica comida, ambiente estandar y nos atendieron de maravilla.",POS,POS,NEU,POS
La Cabrera,Nada especial el lugar y la atención fue genial.,NEU,POS,NEU,POS
Las Violetas,Precio acorde.,NEU,NEU,NEU,NEU
Rapanui,Nada especial el lugar y todo muy grasoso.,NEG,NEU,NEU,NEG
Las Violetas,"Nada del otro mundo la comida, nada especial el lugar y precio acorde.",NEU,NEU,NEU,NEU
Rapanui,El mozo super amable y no me gusto el ambiente.,NEU,POS,NEU,NEU
Sottovoce,El lugar se cae a pedazos y atención sin destacar.,NEU,NEU,NEU,NEG
El Pobre Luis,"Todo muy rico, precios de mercado y el lugar es hermoso.",POS,NEU,NEU,POS
Don Julio,Los mozos te tratan mal.,NEU,NEG,NEU,NEG
La Cabrera,Atención rápida y cordial y no es barato ni caro.,NEU,POS,NEU,POS
Las Violetas,"Cumplieron con el pedido, nada del otro mundo la comida y el lugar se cae a pedazos.",NEU,NEU,NEU,NEG
Rapanui,Muy mala onda los empleados.,NEU,NEG,NEU,NEG
El Pobre Luis,Lo que esperas pagar y ideal para perder el tiempo.,NEU,NEG,NEU,NEG
Don Julio,Me encantó la comida.,POS,NEU,NEU,POS
Don Julio,El lugar esta bueno y se deja comer.,NEU,NEU,NEU,POS
Sottovoce,Muy caro y ambiente estandar.,NEU,NEU,NEG,NEG
Antares,Bastante barato y nada especial el lugar.,NEU,NEU,POS,POS
Pizzería Guerrin,Muy linda decoracion y precios accesibles.,NEU,NEU,POS,POS
Antares,Estaba rico.,POS,NEU,NEU,POS
El Cuartito,Buen precio.,NEU,NEU,POS,POS
La Cabrera,Brillante atencion si no tienes prisa.,NEU,NEG,NEU,NEG
La Mezzetta,"Nadie nos prestaba atención, lo que esperas pagar y ambiente estandar.",NEU,NEG,NEU,NEG
Kansas,Mala ambientacion.,NEU,NEU,NEU,NEG
Pizzería Guerrin,Me pareció carísimo y mala ambientacion.,NEU,NEU,NEG,NEG
Kansas,"Cumplieron con el pedido, nada especial el lugar y muy caro.",NEU,NEU,NEG,NEG
Rapanui,Ambiente estandar y cumplieron con el pedido.,NEU,NEU,NEU,NEU
La Parolaccia,"Tardaron mil años en atender, nada especial el lugar y me encantó la comida.",POS,NEG,NEU,NEU
La Mezzetta,Ni muy muy ni tan tan.,NEU,NEU,NEU,NEU
La Mezzetta,Cumplieron con el pedido y los platos son abundantes y deliciosos.,POS,NEU,NEU,POS
El Cuartito,"Atención sin destacar, vino frio y muy linda decoracion.",NEG,NEU,NEU,NEU
Rapanui,Cumplieron con el pedido y precios de mercado.,NEU,NEU,NEU,NEU
Kansas,Los platos son abundantes y deliciosos y un poco caro.,POS,NEU,NEG,NEU
Don Julio,Nos llego todo frio y precios elevados.,NEG,NEU,NEG,NEG
Las Violetas,El servicio correcto.,NEU,NEU,NEU,NEU
La Parolaccia,Me gusto el lugar.,NEU,NEU,NEU,POS
Pizzería Guerrin,"Una estafa el precio, regular la comida y me gusto el lugar.",NEU,NEU,NEG,NEU
La Parolaccia,El lugar se cae a pedazos.,NEU,NEU,NEU,NEG
La Mezzetta,Costoso y servicio excelente.,NEU,POS,NEG,NEU
Pizzería Guerrin,"Platos estándar, no me gusto el ambiente y me encanto esperar 2 horas.",NEU,NEG,NEU,NEG
La Parolaccia,Precios de mercado.,NEU,NEU,NEU,NEU
La Mezzetta,Me encantó la comida y mala ambientacion.,POS,NEU,NEU,NEU
La Mezzetta,Cumplieron con el pedido y lo que esperas pagar.,NEU,NEU,NEU,NEU
El Pobre Luis,El lugar es hermoso.,NEU,NEU,NEU,POS
Rapanui,No me gusto el ambiente y no es barato ni caro.,NEU,NEU,NEU,NEG
Sottovoce,La carne era una manteca y muy atentos en todo momento.,POS,POS,NEU,POS
Kansas,Regular la comida.,NEU,NEU,NEU,NEU
Don Julio,"Nada especial el lugar, gracias por la demora y no estaba rico.",NEG,NEG,NEU,NEG
La Parolaccia,Nos llego todo frio.,NEG,NEU,NEU,NEG
Sottovoce,"Si te gusta esperar este es tu lugar, muy linda decoracion y precios accesibles.",NEU,NEG,POS,POS
La Mezzetta,"Buen ambiente, tardaron mil años en atender y no me pareció rico.",NEG,NEG,NEU,NEG
Pizzería Guerrin,Atención sin destacar.,NEU,NEU,NEU,NEU
Rapanui,"Los platos son abundantes y deliciosos, la atención normal y precios elevados.",POS,NEU,NEG,NEU
El Cuartito,"Nada del otro mundo la comida, el lugar se cae a pedazos y lo que esperas pagar.",NEU,NEU,NEU,NEG
La Mezzetta,Nos atendieron de maravilla.,NEU,POS,NEU,POS
El Cuartito,Muy linda decoracion.,NEU,NEU,NEU,POS
La Mezzetta,"No es barato ni caro, nos atendieron de maravilla y teniamos frio.",NEG,POS,NEU,NEU
Sottovoce,Precios accesibles.,NEU,NEU,POS,POS
La Parolaccia,El lugar se cae a pedazos.,NEU,NEU,NEU,NEG
Pizzería Guerrin,Me pareció carísimo y falta personal.,NEU,NEG,NEG,NEG
Antares,Tiempos de espera normales.,NEU,NEU,NEU,NEU
Pizzería Guerrin,Excelente relación precio calidad y bien si te gusta lo crudo.,NEG,NEU,POS,NEU
El Pobre Luis,La carne era una manteca y falta personal.,POS,NEG,NEU,NEU
La Cabrera,Me encantó la comida y buen precio.,POS,NEU,POS,POS
Antares,"Precio acorde, excelente sabor y si te gusta esperar este es tu lugar.",POS,NEG,NEU,NEU
Kansas,Me encantó la comida y lindo lugar.,POS,NEU,NEU,POS
Don Julio,Me gusto el lugar y el servicio correcto.,NEU,NEU,NEU,POS
Pizzería Guerrin,Precio acorde y vino frio.,NEG,NEU,NEU,NEG
Kansas,"No me gusto el ambiente, atención sin destacar y excelente sabor.",POS,NEU,NEU,NEU
La Parolaccia,Servicio lento y malo.,NEU,NEG,NEU,NEG
Kansas,"No es caro, me gusto el lugar y no me gustó la comida.",NEG,NEU,POS,POS
La Cabrera,No vale lo que cuesta.,NEU,NEU,NEG,NEG
El Pobre Luis,Cumplieron con el pedido.,NEU,NEU,NEU,NEU
Pizzería Guerrin,Tiempos de espera normales y precios por las nubes.,NEU,NEU,NEG,NEG
El Pobre Luis,Precios accesibles.,NEU,NEU,POS,POS
Las Violetas,"Lugar normal, teniamos frio y no es barato ni caro.",NEG,NEU,NEU,NEG
Pizzería Guerrin,Nos atendieron de maravilla.,NEU,POS,NEU,POS
Sottovoce,La carne era una manteca.,POS,NEU,NEU,POS
El Pobre Luis,"Me gusto el lugar, el mozo super amable y precios por las nubes.",NEU,POS,NEG,POS
Pizzería Guerrin,Lugar normal y precios un poco elevados para lo que ofrecen.,NEU,NEU,NEG,NEG
El Cuartito,Costoso y platos estándar.,NEU,NEU,NEG,NEG
Antares,"Platos estándar, precios accesibles y ambiente estandar.",NEU,NEU,POS,POS
Sottovoce,El lugar se cae a pedazos y se deja comer.,NEU,NEU,NEU,NEG
Pizzería Guerrin,Se deja comer.,NEU,NEU,NEU,NEU
Kansas,"Lugar normal, un poco caro y atención rápida y cordial.",NEU,POS,NEG,NEU
Las Violetas,Te arrancan la cabeza.,NEU,NEU,NEG,NEG
El Cuartito,"Lindo lugar, una estafa el precio y la carne era una manteca.",POS,NEU,NEG,POS
La Cabrera,Excelente sabor y buen ambiente.,POS,NEU,NEU,POS
La Cabrera,"Platos estándar, muy atentos en todo momento y una estafa el precio.",NEU,POS,NEG,NEU
